   N    orbits    quotient
 613   4490856  5.99020408
 614  24014900  7.99184406
 615   4520268  5.99023596
 616  24171972  7.99187058
 617   4549776  5.99026764
 618  24329556  7.99189693
 619   4579380  5.99029911
 620  24487652  7.99192311
 621   4609080  5.99033038
 622  24646260  7.99194912
 623   4638876  5.99036145
 624  24805380  7.99197496
 625   4668768  5.99039231
 626  24965012  7.99200064
 627   4698756  5.99042298
 628  25125156  7.99202615
 629   4728840  5.99045346
 630  25285812  7.99205151
 631   4759020  5.99048374
 632  25446980  7.99207670
 633   4789296  5.99051383
 634  25608660  7.99210173
 635   4819668  5.99054374
 636  25770852  7.99212660
 637   4850136  5.99057345
 638  25933556  7.99215132
 639   4880700  5.99060298
 640  26096772  7.99217589
 641   4911360  5.99063232
 642  26260500  7.99220030
 643   4942116  5.99066148
 644  26424740  7.99222456
 645   4972968  5.99069046
 646  26589492  7.99224866
 647   5003916  5.99071926
 648  26754756  7.99227262
 649   5034960  5.99074788
 650  26920532  7.99229643
 651   5066100  5.99077633
 652  27086820  7.99232010
 653   5097336  5.99080460
 654  27253620  7.99234362
 655   5128668  5.99083270
 656  27420932  7.99236700
 657   5160096  5.99086062
 658  27588756  7.99239023
 659   5191620  5.99088838
 660  27757092  7.99241332
 661   5223240  5.99091597
 662  27925940  7.99243628
 663   5254956  5.99094340
 664  28095300  7.99245909
 665   5286768  5.99097065
 666  28265172  7.99248177
 667   5318676  5.99099775
 668  28435556  7.99250431
 669   5350680  5.99102468
 670  28606452  7.99252672
 671   5382780  5.99105145
 672  28777860  7.99254899
 673   5414976  5.99107807
 674  28949780  7.99257113
 675   5447268  5.99110452
 676  29122212  7.99259314
 677   5479656  5.99113082
 678  29295156  7.99261502
 679   5512140  5.99115696
 680  29468612  7.99263677
 681   5544720  5.99118295
 682  29642580  7.99265840
 683   5577396  5.99120879
 684  29817060  7.99267989
 685   5610168  5.99123448
 686  29992052  7.99270126
 687   5643036  5.99126001
 688  30167556  7.99272251
 689   5676000  5.99128540
 690  30343572  7.99274363
 691   5709060  5.99131064
 692  30520100  7.99276463
 693   5742216  5.99133574
 694  30697140  7.99278551
 695   5775468  5.99136069
 696  30874692  7.99280627
 697   5808816  5.99138550
 698  31052756  7.99282691
 699   5842260  5.99141016
 700  31231332  7.99284744
 701   5875800  5.99143469
 702  31410420  7.99286784
 703   5909436  5.99145907
 704  31590020  7.99288813
 705   5943168  5.99148332
 706  31770132  7.99290830
 707   5976996  5.99150743
 708  31950756  7.99292836
 709   6010920  5.99153140
 710  32131892  7.99294831
 711   6044940  5.99155524
 712  32313540  7.99296815
 713   6079056  5.99157895
 714  32495700  7.99298787
 715   6113268  5.99160252
 716  32678372  7.99300748
 717   6147576  5.99162596
 718  32861556  7.99302699
 719   6181980  5.99164927
 720  33045252  7.99304638
 721   6216480  5.99167245
 722  33229460  7.99306567
 723   6251076  5.99169550
 724  33414180  7.99308485
 725   6285768  5.99171843
 726  33599412  7.99310392
 727   6320556  5.99174123
 728  33785156  7.99312289
 729   6355440  5.99176390
 730  33971412  7.99314176
 731   6390420  5.99178645
 732  34158180  7.99316052
 733   6425496  5.99180887
 734  34345460  7.99317918
 735   6460668  5.99183118
 736  34533252  7.99319774
 737   6495936  5.99185336
 738  34721556  7.99321620
 739   6531300  5.99187542
 740  34910372  7.99323456
 741   6566760  5.99189737
 742  35099700  7.99325282
 743   6602316  5.99191919
 744  35289540  7.99327098
 745   6637968  5.99194090
 746  35479892  7.99328904
 747   6673716  5.99196249
 748  35670756  7.99330701
 749   6709560  5.99198397
 750  35862132  7.99332488
 751   6745500  5.99200533
 752  36054020  7.99334265
 753   6781536  5.99202658
 754  36246420  7.99336033
 755   6817668  5.99204771
 756  36439332  7.99337792
 757   6853896  5.99206874
 758  36632756  7.99339542
 759   6890220  5.99208965
 760  36826692  7.99341282
 761   6926640  5.99211045
 762  37021140  7.99343013
 763   6963156  5.99213115
 764  37216100  7.99344735
 765   6999768  5.99215173
 766  37411572  7.99346448
 767   7036476  5.99217221
 768  37607556  7.99348152
 769   7073280  5.99219258
 770  37804052  7.99349847
 771   7110180  5.99221285
 772  38001060  7.99351534
 773   7147176  5.99223301
 774  38198580  7.99353211
 775   7184268  5.99225307
